time,Fx,Fy,Fz
0.862000,17.712850,-13.750536,103.286327
0.864000,18.355112,-14.158424,99.353657
0.866000,21.562661,-15.839747,93.643740
0.868000,19.263001,-14.730354,92.448351
0.870000,21.938892,-16.174984,87.364190
0.872000,19.403923,-14.856669,86.923903
0.874000,19.543547,-14.947656,84.143092
0.876000,23.019845,-17.238569,78.144802
0.878000,20.263664,-15.660052,78.760924
0.880000,19.931172,-15.371132,77.160696
0.882000,19.893570,-15.195337,75.460971
0.884000,19.778038,-14.990088,73.771893
0.886000,22.626606,-16.453429,69.009797
0.888000,19.532203,-14.439409,71.259975
0.890000,21.891650,-15.639232,67.090416
0.892000,18.715165,-13.519715,69.864855
0.894000,18.383758,-13.094574,69.106957
0.896000,18.106374,-12.659109,68.546877
0.898000,17.804434,-12.191517,68.134843
0.900000,17.472674,-11.696404,67.852656
0.902000,17.114776,-11.177753,67.689568
0.904000,17.871573,-12.102093,65.998743
0.906000,20.368956,-13.505306,61.699519
0.908000,17.145188,-11.102346,65.955730
0.910000,16.327391,-10.251208,66.758840
0.912000,15.841797,-9.594254,67.126294
0.914000,15.396190,-8.949208,67.513983
0.916000,14.305283,-8.100355,68.960854
0.918000,14.363634,-7.566872,68.569607
0.920000,13.855638,-6.873569,69.208513
0.922000,13.445710,-6.232270,69.842472
0.924000,12.449089,-5.405368,71.498309
0.926000,14.778764,-7.293227,67.144403
0.928000,11.616307,-4.990752,72.719869
0.930000,12.964816,-5.613773,70.308619
0.932000,10.767908,-3.612146,74.581570
0.934000,10.444687,-2.993866,75.314107
0.936000,10.899720,-2.725241,74.888917
0.938000,9.586302,-1.750687,77.105308
0.940000,11.305513,-2.680600,74.005429
0.942000,10.373371,-1.395332,76.638400
0.944000,9.690054,-0.698826,77.966476
0.946000,10.649323,-1.258768,75.986007
0.948000,10.400495,-0.868237,76.728658
0.950000,9.018654,0.462937,80.257386
0.952000,8.065996,1.111772,82.024156
0.954000,6.950154,-0.141132,83.733976
0.956000,5.928460,-0.115161,84.263532
0.958000,6.078161,0.621148,85.635555
0.960000,5.332771,1.154392,86.759461
0.962000,5.479458,1.436675,86.988747
0.964000,5.746732,1.565591,86.903099
0.966000,6.023957,1.655810,86.786069
0.968000,7.249886,0.963836,84.749555
0.970000,6.573609,1.773442,86.600462
0.972000,6.834784,1.818894,86.517226
0.974000,6.889409,1.407795,85.435324
0.976000,8.199029,1.625037,85.773614
0.978000,7.604163,1.834107,86.355279
0.980000,2.365520,-7.681642,91.517414
0.982000,2.701254,-7.604832,89.795434
0.984000,0.620184,-6.281927,95.528029
0.986000,4.471489,-6.220845,91.028392
0.988000,5.997097,-4.749759,89.583787
0.990000,7.032974,-2.623771,87.914631
0.992000,8.186307,-0.831114,87.010812
0.994000,9.434445,-0.015673,86.943284
0.996000,10.550343,3.738456,86.390624
0.998000,11.695755,6.124135,85.603211
1.000000,13.187699,7.795187,83.478754
1.002000,-0.532808,-18.911665,99.261083
1.004000,0.285639,-19.699956,99.727903
1.006000,7.423760,-9.772219,92.100988
1.008000,13.848072,-1.222407,85.159683
1.008000,16.521850,2.773340,81.265011
1.012000,21.849482,8.995906,75.567289
1.014000,22.448581,13.875161,94.774585
1.016000,-38.241921,-1.598406,374.288824
1.018000,-35.964411,0.760015,381.690906
1.020000,-34.441723,1.177449,372.765982
1.022000,-32.821557,1.423181,363.851656
