time,stance,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.398000,0,0.189567,0.577841,1.263897,-0.335055,-0.718256,1.539044
0.400000,0,0.190039,0.577792,1.263961,-0.335866,-0.717534,1.538960
0.402000,0,0.190496,0.577736,1.264015,-0.336651,-0.716637,1.538703
0.406000,0,0.191361,0.577650,1.264094,-0.338043,-0.714455,1.537009
0.406000,0,0.191361,0.577650,1.264094,-0.338043,-0.714455,1.537009
0.408000,0,0.191361,0.577650,1.264094,-0.338043,-0.714455,1.537009
0.412000,0,0.192154,0.577614,1.264144,-0.339177,-0.711789,1.533660
0.412000,0,0.192523,0.577611,1.264162,-0.339663,-0.710244,1.531468
0.414000,0,0.192875,0.577618,1.264176,-0.340095,-0.708557,1.528933
0.416000,0,0.193210,0.577632,1.264187,-0.340479,-0.706704,1.526116
0.420000,0,0.193827,0.577681,1.264209,-0.341109,-0.702484,1.519680
0.422000,0,0.194110,0.577716,1.264220,-0.341353,-0.700109,1.516080
0.422000,0,0.194110,0.577716,1.264220,-0.341353,-0.700109,1.516080
0.426000,0,0.194374,0.577765,1.264232,-0.341543,-0.697573,1.512222
0.426000,0,0.194619,0.577826,1.264245,-0.341671,-0.694884,1.508069
0.428000,0,0.194846,0.577903,1.264257,-0.341728,-0.692045,1.503574
0.430000,0,0.195055,0.577997,1.264268,-0.341707,-0.689064,1.498706
0.432000,0,0.195417,0.578241,1.264293,-0.341420,-0.682693,1.487838
0.436000,0,0.195417,0.578241,1.264293,-0.341420,-0.682693,1.487838
0.436000,0,0.195569,0.578390,1.264309,-0.341154,-0.679299,1.481875
0.438000,0,0.195703,0.578553,1.264327,-0.340824,-0.675746,1.475708
0.438000,0,0.195703,0.578553,1.264327,-0.340824,-0.675746,1.475708
0.440000,0,0.195908,0.578932,1.264385,-0.339936,-0.668196,1.462512
0.444000,0,0.195978,0.579154,1.264428,-0.339367,-0.664222,1.455431
0.448000,0,0.196025,0.579398,1.264480,-0.338714,-0.660123,1.448022
0.450000,0,0.196066,0.579633,1.264529,-0.337981,-0.655800,1.440669
0.450000,0,0.196099,0.579860,1.264572,-0.337169,-0.651252,1.433375
0.452000,0,0.196127,0.580073,1.264609,-0.336273,-0.646472,1.426183
0.454000,0,0.196144,0.580292,1.264641,-0.335259,-0.641535,1.418844
0.458000,0,0.196110,0.580851,1.264710,-0.332712,-0.631630,1.402306
0.458000,0,0.196110,0.580851,1.264710,-0.332712,-0.631630,1.402306
0.462000,0,0.196043,0.581232,1.264760,-0.331128,-0.626832,1.392599
0.462000,0,0.195942,0.581654,1.264836,-0.329433,-0.621996,1.382527
0.464000,0,0.195804,0.582122,1.264937,-0.327606,-0.617164,1.371926
0.468000,0,0.195440,0.583073,1.265249,-0.323921,-0.606880,1.351752
0.468000,0,0.195440,0.583073,1.265249,-0.323921,-0.606880,1.351752
0.470000,0,0.195224,0.583499,1.265462,-0.322215,-0.601156,1.343436
0.472000,0,0.194980,0.583933,1.265705,-0.320518,-0.595243,1.335686
0.472000,0,0.194980,0.583933,1.265705,-0.320518,-0.595243,1.335686
0.474000,0,0.194407,0.584826,1.266276,-0.317133,-0.582848,1.321815
0.478000,0,0.194074,0.585326,1.266592,-0.315342,-0.576590,1.314951
0.482000,0,0.193701,0.585908,1.266927,-0.313406,-0.570508,1.307450
0.484000,0,0.192773,0.587540,1.267717,-0.308875,-0.559872,1.287488
0.486000,0,0.192773,0.587540,1.267717,-0.308875,-0.559872,1.287488
0.486000,0,0.192216,0.588564,1.268203,-0.306361,-0.555205,1.275463
0.488000,0,0.191632,0.589580,1.268761,-0.303978,-0.550266,1.264495
0.490000,0,0.191018,0.590597,1.269390,-0.301712,-0.545083,1.254450
0.492000,0,0.190380,0.591595,1.270093,-0.299610,-0.539584,1.245572
0.494000,0,0.189717,0.592575,1.270865,-0.297663,-0.533771,1.237819
0.498000,0,0.189041,0.593539,1.271683,-0.295813,-0.527704,1.230985
0.500000,0,0.188355,0.594546,1.272511,-0.293894,-0.521769,1.223834
0.500000,0,0.187658,0.595598,1.273351,-0.291908,-0.515965,1.216377
0.502000,0,0.186942,0.596736,1.274198,-0.289788,-0.510518,1.207913
0.504000,1,0.186211,0.597945,1.275055,-0.287562,-0.505367,1.198667
0.504000,1,0.186211,0.597945,1.275055,-0.287562,-0.505367,1.198667
0.506000,1,0.184193,0.600014,1.276687,-0.285145,-0.497207,1.183621
0.510000,1,0.182936,0.600869,1.277474,-0.284768,-0.494009,1.177598
0.514000,1,0.181793,0.602000,1.279840,-0.284827,-0.491238,1.172182
0.516000,1,0.180849,0.603420,1.283929,-0.285221,-0.488869,1.167353
0.516000,1,0.180137,0.605119,1.289728,-0.285877,-0.486865,1.163054
0.518000,1,0.179638,0.607021,1.296786,-0.286713,-0.485204,1.159244
0.522000,1,0.179120,0.611187,1.312385,-0.288642,-0.482861,1.152943
0.524000,1,0.179014,0.613461,1.319793,-0.289618,-0.482168,1.150401
0.524000,1,0.179014,0.613461,1.319793,-0.289618,-0.482168,1.150401
0.526000,1,0.178951,0.615849,1.326355,-0.290540,-0.481774,1.148246
0.530000,1,0.178980,0.618323,1.332424,-0.291397,-0.481637,1.146456
0.530000,1,0.179172,0.620854,1.338650,-0.292196,-0.481708,1.145003
0.532000,1,0.179529,0.623442,1.345024,-0.292925,-0.481972,1.143855
0.534000,1,0.180086,0.626058,1.351857,-0.293585,-0.482392,1.142992
0.538000,1,0.181735,0.631331,1.366480,-0.294663,-0.483638,1.142055
0.540000,1,0.181735,0.631331,1.366480,-0.294663,-0.483638,1.142055
