time,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.470000,-19.671928,15.132254,-23.720485,-2.236515,6.156138,0.754997
0.472000,-19.420996,15.147450,-23.795692,-2.069180,5.662586,0.346857
0.474000,-19.134868,15.172262,-23.893889,-1.851173,5.086827,-0.156606
0.476000,-18.810230,15.097188,-23.855760,-1.675815,4.758581,-0.472066
0.478000,-18.447169,14.898252,-23.649141,-1.600504,4.437736,-0.697609
0.480000,-18.072839,14.623497,-23.342268,-1.591049,4.109868,-0.873077
0.482000,-17.683460,14.290649,-22.964624,-1.635027,3.761700,-1.019386
0.484000,-17.273699,13.909045,-22.532298,-1.716469,3.417909,-1.130411
0.486000,-16.838341,13.483521,-22.054406,-1.822205,3.104533,-1.195810
0.488000,-16.376682,13.021543,-21.542753,-1.962885,2.786116,-1.239596
0.490000,-15.851538,12.529025,-21.002608,-2.117825,2.561178,-1.208988
0.492000,-15.343519,12.018480,-20.462595,-2.272627,2.303410,-1.192004
0.494000,-14.829342,11.507437,-19.939713,-2.425088,2.046058,-1.178020
0.496000,-14.303838,10.995278,-19.431646,-2.590251,1.771473,-1.173763
0.498000,-13.769039,10.483511,-18.939128,-2.752081,1.510308,-1.162589
0.500000,-13.224715,9.971040,-18.459930,-2.912320,1.266791,-1.140659
0.502000,-12.675091,9.461372,-17.997560,-2.981798,1.359737,-0.948754
0.504000,-12.124961,8.959065,-17.556959,-3.090163,1.373100,-0.800835
0.506000,-11.620644,8.518636,-17.206837,-3.157150,1.324020,-0.722507
0.508000,4.180244,-3.756543,6.120268,9.446804,-10.132151,-20.963413
0.510000,2.702352,1.728298,3.135388,11.070996,-10.813316,-20.887143
0.512000,2.248822,2.080293,2.376749,13.862604,-11.169731,-20.909311
0.514000,2.007313,2.263808,1.954311,16.240700,-10.729900,-20.111039
0.516000,1.760156,2.476498,1.604779,18.032113,-10.164238,-19.220629
0.518000,1.630180,2.525275,1.394158,19.550333,-9.420814,-18.128487
0.520000,1.451907,2.636160,1.178839,20.655084,-8.676284,-17.095920
0.522000,1.215598,2.812965,0.951009,21.376897,-7.982812,-16.176329
0.524000,1.126958,2.786673,0.890274,21.935319,-7.145436,-15.086201
0.526000,0.995719,2.818680,0.844983,22.196163,-6.353957,-14.095041
0.528000,0.807826,2.927658,0.763162,22.230912,-5.662514,-13.266227
0.530000,0.684638,2.936425,0.753659,22.169804,-4.932885,-12.407164
0.532000,0.575998,2.926090,0.772525,21.996467,-4.222494,-11.597191
0.534000,0.519414,2.814291,0.860755,21.746731,-3.484902,-10.768702
0.536000,0.403875,2.795306,0.878058,21.413594,-2.867361,-10.118784
0.538000,0.268645,2.789325,0.861052,21.038189,-2.322798,-9.578286
0.540000,0.088424,2.880616,0.765097,20.626849,-1.901634,-9.209949
0.542000,-0.043704,2.872865,0.736697,20.173130,-1.466285,-8.829105
0.544000,-0.120409,2.752915,0.804888,19.659110,-1.000535,-8.417170
0.546000,-0.224937,2.721181,0.813343,19.128181,-0.651769,-8.160201
0.548000,-0.342197,2.700352,0.791771,18.603163,-0.376601,-8.002807
0.550000,-0.480531,2.769783,0.697669,18.105216,-0.214192,-7.988737
0.552000,-0.586483,2.738902,0.672370,17.584372,-0.041163,-7.966413
0.554000,-0.655431,2.604942,0.736553,17.019674,0.156139,-7.920719
0.556000,-0.740132,2.633103,0.691131,16.521982,0.202324,-8.052311
0.558000,-0.823010,2.585319,0.675795,16.033819,0.237583,-8.205707
0.560000,-0.891723,2.451009,0.722762,15.524811,0.288521,-8.349550
0.562000,-0.958476,2.392122,0.718381,15.072760,0.252453,-8.591839
0.564000,-1.027619,2.411204,0.646969,14.703511,0.123677,-8.936771
0.566000,-1.094527,2.354066,0.620562,14.329219,-0.001253,-9.284304
0.568000,-1.142182,2.283008,0.618286,13.965637,-0.143597,-9.648369
0.570000,-1.179232,2.205161,0.624914,13.627659,-0.314794,-10.042558
0.572000,-1.212192,2.124779,0.630110,13.325347,-0.514967,-10.467891
0.574000,-1.243301,2.044149,0.629542,13.062387,-0.742200,-10.921815
0.576000,-1.290822,1.903216,0.654748,12.799398,-0.979773,-11.394809
0.578000,-1.318581,1.815917,0.647809,12.611473,-1.257512,-11.898012
0.580000,-1.347344,1.730953,0.630362,12.468496,-1.565505,-12.429795
0.582000,-1.371186,1.643242,0.614049,12.356617,-1.891190,-12.973953
0.584000,-1.387070,1.550916,0.604175,12.270033,-2.230689,-13.524311
0.586000,-1.395196,1.454121,0.600766,12.207662,-2.581740,-14.077630
0.588000,-1.373317,1.390155,0.589047,12.198475,-2.931490,-14.610867
0.590000,-1.396165,1.251522,0.602887,12.158917,-3.311231,-15.184340
0.592000,-1.366893,1.177270,0.598876,12.188866,-3.662264,-15.700299
0.594000,-1.360826,1.070610,0.600339,12.223180,-4.037746,-16.240125
0.596000,-1.353570,0.963201,0.600477,12.274980,-4.413378,-16.769499
0.598000,-1.368034,0.831222,0.602347,12.331369,-4.819995,-17.324823
0.600000,-1.333345,0.748997,0.596534,12.432964,-5.169186,-17.797589
0.602000,-1.342614,0.614599,0.598614,12.529288,-5.583151,-18.332781
0.604000,-1.328540,0.502622,0.597455,12.644332,-5.960733,-18.813631
0.606000,-1.290731,0.408535,0.597668,12.773242,-6.295563,-19.235644
0.608000,-1.272357,0.295854,0.597223,12.904894,-6.663660,-19.680659
0.610000,-1.272649,0.170100,0.591299,13.045427,-7.070857,-20.151539
0.612000,-1.234283,0.075825,0.588185,13.183473,-7.384580,-20.517331
0.614000,-1.211052,-0.032732,0.584728,13.328322,-7.730007,-20.899229
0.616000,-1.187400,-0.138826,0.578838,13.473921,-8.068785,-21.262204
0.618000,-1.162101,-0.242410,0.571836,13.618386,-8.398719,-21.603225
0.620000,-1.134649,-0.343440,0.564491,13.759787,-8.718802,-21.921338
0.622000,-1.110347,-0.438522,0.547708,13.904352,-9.027717,-22.217120
0.624000,-1.084145,-0.530077,0.529945,14.043443,-9.325019,-22.488870
0.626000,-1.056566,-0.629195,0.520670,14.171687,-9.609127,-22.735059
0.628000,-1.024414,-0.727165,0.515504,14.288821,-9.879927,-22.955700
0.630000,-0.989839,-0.822212,0.510552,14.396975,-10.138332,-23.152946
0.632000,-0.954231,-0.913155,0.503511,14.494936,-10.383930,-23.327153
0.634000,-0.918012,-0.999254,0.493344,14.584497,-10.616373,-23.478849
0.636000,-0.880833,-1.080022,0.480219,14.665123,-10.835173,-23.608068
0.638000,-0.842221,-1.155542,0.465083,14.735605,-11.039803,-23.714694
0.640000,-0.801648,-1.225758,0.448737,14.794913,-11.229723,-23.798647
0.642000,-0.758848,-1.290500,0.431565,14.842504,-11.404439,-23.860013
0.644000,-0.713977,-1.349835,0.413561,14.877327,-11.561028,-23.897072
0.646000,-0.667035,-1.402824,0.394412,14.900283,-11.701227,-23.911908
0.648000,-0.617854,-1.449741,0.374237,14.911654,-11.824961,-23.905221
0.650000,-0.566574,-1.490034,0.352864,14.911678,-11.931868,-23.877375
0.652000,-0.524997,-1.550321,0.344739,14.900631,-12.021656,-23.828802
0.654000,-0.481043,-1.606335,0.336721,14.878817,-12.094022,-23.759921
0.656000,-0.437289,-1.654519,0.320840,14.864608,-12.158081,-23.681709
0.658000,-0.393391,-1.695076,0.301692,14.830447,-12.203723,-23.583988
0.660000,-0.347967,-1.727717,0.279255,14.788564,-12.235294,-23.471555
0.662000,-0.300376,-1.752213,0.254509,14.737563,-12.252931,-23.344933
0.664000,-0.250063,-1.768376,0.228304,14.677075,-12.256365,-23.204265
0.666000,-0.196749,-1.775906,0.201040,14.607329,-12.245254,-23.049725
0.668000,-0.140391,-1.774392,0.172725,14.528974,-12.219222,-22.881539
0.670000,-0.081066,-1.763372,0.143182,14.442868,-12.177869,-22.699943
0.672000,-0.018869,-1.742400,0.112236,14.349898,-12.120778,-22.505152
0.674000,0.046135,-1.711085,0.079803,14.250895,-12.047516,-22.297343
0.676000,0.074633,-1.757868,0.092728,14.146624,-11.957648,-22.076662
0.678000,0.109380,-1.797946,0.105890,14.037812,-11.850739,-21.843244
0.680000,0.144099,-1.820521,0.102431,13.936568,-11.739069,-21.612655
0.682000,0.178376,-1.821963,0.080176,13.839868,-11.621348,-21.385050
0.684000,0.215775,-1.801610,0.043848,13.745818,-11.498524,-21.159367
0.686000,0.260139,-1.760013,-0.000315,13.649061,-11.369217,-20.932909
0.688000,0.314119,-1.697281,-0.048054,13.546140,-11.231434,-20.702876
0.690000,0.386522,-1.588538,-0.110222,13.435801,-11.081282,-20.465505
0.692000,0.472202,-1.445519,-0.180257,13.319569,-10.917751,-20.220034
0.694000,0.568446,-1.280542,-0.249090,13.196494,-10.735102,-19.960570
0.696000,0.672714,-1.103465,-0.310543,13.067119,-10.528991,-19.683020
0.698000,0.781853,-0.920977,-0.362567,12.934372,-10.296980,-19.385958
0.700000,0.892455,-0.737109,-0.406074,12.802534,-10.038287,-19.070085
0.702000,0.859379,-0.830405,-0.301077,12.675753,-9.753428,-18.737455
0.704000,0.873037,-0.865034,-0.224618,12.557069,-9.443881,-18.390852
0.706000,0.905106,-0.905676,-0.149704,12.460859,-9.128864,-18.022935
0.708000,1.981825,-1.400096,1.946957,12.449242,-8.871798,-17.804468
0.710000,2.106358,-1.394637,2.100055,12.422054,-8.583281,-17.503720
0.712000,1.831770,-0.704490,1.232108,13.132830,-8.320833,-17.483979
0.714000,1.528098,-0.031711,0.360707,13.847783,-8.012709,-17.374600
0.716000,1.346136,0.658346,-0.336284,14.253481,-7.718139,-17.247951
0.718000,1.311110,1.025612,-0.600661,14.304630,-7.324497,-16.900259
0.720000,1.375410,1.385801,-0.709458,14.123691,-6.940392,-16.545936
0.722000,1.481444,1.596006,-0.657372,13.856626,-6.504257,-16.111992
0.724000,1.595439,1.768830,-0.566209,13.589750,-6.038759,-15.658904
0.726000,1.530914,1.584079,-0.321771,13.376109,-5.562379,-15.221013
