time,roll,pitch,yaw,roll_d,pitch_d,yaw_d
0.430000,3.136936,3.137074,-3.080851,3.141064,3.141431,3.141132
0.434000,3.136212,3.136457,-3.080067,3.141064,3.141431,3.141132
0.436000,3.135394,3.135794,-3.079449,3.141064,3.141431,3.141132
0.436000,3.134517,3.135096,-3.079001,3.141064,3.141431,3.141132
0.438000,3.133607,3.134371,-3.078703,3.141064,3.141431,3.141132
0.442000,3.132682,3.133625,-3.078536,3.141064,3.141431,3.141132
0.442000,3.131758,3.132861,-3.078480,3.141064,3.141431,3.141132
0.444000,3.130845,3.132084,-3.078514,3.141064,3.141431,3.141132
0.446000,3.129954,3.131296,-3.078616,3.141064,3.141431,3.141132
0.450000,3.128266,3.129707,-3.078959,3.141064,3.141431,3.141132
0.450000,3.128266,3.129707,-3.078959,3.141064,3.141431,3.141132
0.452000,3.127482,3.128912,-3.079171,3.141064,3.141431,3.141132
0.454000,3.126740,3.128122,-3.079388,3.141064,3.141431,3.141132
0.456000,3.126048,3.127341,-3.079607,3.141064,3.141431,3.141132
0.458000,3.125409,3.126570,-3.079821,3.141064,3.141431,3.141132
0.462000,3.124296,3.125075,-3.080215,3.141064,3.141431,3.141132
0.464000,3.124296,3.125075,-3.080215,3.141064,3.141431,3.141132
0.464000,3.123823,3.124354,-3.080389,3.141064,3.141431,3.141132
0.466000,3.123402,3.123655,-3.080540,3.141064,3.141431,3.141132
0.468000,3.123036,3.122978,-3.080670,3.141064,3.141431,3.141132
0.472000,3.122724,3.122326,-3.080777,3.141064,3.141431,3.141132
0.474000,3.122464,3.121698,-3.080859,3.141064,3.141431,3.141132
0.476000,3.122254,3.121097,-3.080915,3.141064,3.141431,3.141132
0.476000,3.122091,3.120522,-3.080945,3.141064,3.141431,3.141132
0.478000,3.121974,3.119974,-3.080949,3.141064,3.141431,3.141132
0.482000,3.121866,3.118960,-3.080877,3.141064,3.141431,3.141132
0.484000,3.121866,3.118960,-3.080877,3.141064,3.141431,3.141132
0.484000,3.121870,3.118494,-3.080804,3.141064,3.141431,3.141132
0.486000,3.121907,3.118055,-3.080706,3.141064,3.141431,3.141132
0.488000,3.121976,3.117643,-3.080585,3.141064,3.141431,3.141132
0.492000,3.122197,3.116898,-3.080273,3.141064,3.141431,3.141132
0.494000,3.122345,3.116564,-3.080084,3.141064,3.141431,3.141132
0.494000,3.122345,3.116564,-3.080084,3.141064,3.141431,3.141132
0.496000,3.122513,3.116255,-3.079875,3.141064,3.141431,3.141132
0.500000,3.122698,3.115970,-3.079644,3.141064,3.141431,3.141132
0.500000,3.122897,3.115710,-3.079395,3.141064,3.141431,3.141132
0.502000,3.123109,3.115475,-3.079125,3.141064,3.141431,3.141132
0.506000,3.123563,3.115078,-3.078531,3.141064,3.141431,3.141132
0.506000,3.123563,3.115078,-3.078531,3.141064,3.141431,3.141132
0.508000,3.123802,3.114915,-3.078207,3.141064,3.141431,3.141132
0.512000,3.124292,3.114656,-3.077514,3.141064,3.141431,3.141132
0.514000,3.124292,3.114656,-3.077514,3.141064,3.141431,3.141132
0.514000,3.124540,3.114560,-3.077146,3.141064,3.141431,3.141132
0.518000,3.125035,3.114430,-3.076372,3.141064,3.141431,3.141132
0.520000,3.125035,3.114430,-3.076372,3.141064,3.141431,3.141132
0.522000,3.125277,3.114397,-3.075966,3.141064,3.141431,3.141132
0.522000,3.125515,3.114383,-3.075549,3.141064,3.141431,3.141132
0.524000,3.125746,3.114389,-3.075119,3.141064,3.141431,3.141132
0.526000,3.125970,3.114414,-3.074678,3.141064,3.141431,3.141132
0.530000,3.126391,3.114519,-3.073760,3.141064,3.141431,3.141132
0.532000,3.126391,3.114519,-3.073760,3.141064,3.141431,3.141132
0.534000,3.126587,3.114599,-3.073283,3.141064,3.141431,3.141132
0.534000,3.126773,3.114695,-3.072798,3.141064,3.141431,3.141132
0.536000,3.126947,3.114808,-3.072303,3.141064,3.141431,3.141132
0.538000,3.127109,3.114937,-3.071799,3.141064,3.141431,3.141132
0.542000,3.127394,3.115244,-3.070764,3.141064,3.141431,3.141132
0.544000,3.127394,3.115244,-3.070764,3.141064,3.141431,3.141132
0.546000,3.127515,3.115420,-3.070234,3.141064,3.141431,3.141132
0.546000,3.127622,3.115610,-3.069696,3.141064,3.141431,3.141132
0.550000,3.127714,3.115815,-3.069149,3.141064,3.141431,3.141132
0.550000,3.127792,3.116034,-3.068595,3.141064,3.141431,3.141132
0.552000,3.127853,3.116266,-3.068031,3.141064,3.141431,3.141132
0.554000,3.127899,3.116512,-3.067460,3.141064,3.141431,3.141132
0.558000,3.127944,3.117043,-3.066293,3.141064,3.141431,3.141132
0.560000,3.127944,3.117043,-3.066293,3.141064,3.141431,3.141132
0.560000,3.127942,3.117327,-3.065698,3.141064,3.141431,3.141132
0.562000,3.127926,3.117622,-3.065098,3.141064,3.141431,3.141132
0.564000,3.127894,3.117928,-3.064491,3.141064,3.141431,3.141132
0.566000,3.127846,3.118246,-3.063877,3.141064,3.141431,3.141132
0.570000,3.127700,3.118912,-3.062629,3.141064,3.141431,3.141132
0.572000,3.127700,3.118912,-3.062629,3.141064,3.141431,3.141132
0.572000,3.127603,3.119260,-3.061994,3.141064,3.141431,3.141132
0.574000,3.127491,3.119618,-3.061354,3.141064,3.141431,3.141132
0.576000,3.127363,3.119984,-3.060705,3.141064,3.141431,3.141132
0.580000,3.127060,3.120744,-3.059383,3.141064,3.141431,3.141132
0.582000,3.126885,3.121137,-3.058710,3.141064,3.141431,3.141132
0.582000,3.126885,3.121137,-3.058710,3.141064,3.141431,3.141132
0.586000,3.126494,3.121944,-3.057342,3.141064,3.141431,3.141132
0.588000,3.126494,3.121944,-3.057342,3.141064,3.141431,3.141132
0.590000,3.126277,3.122358,-3.056646,3.141064,3.141431,3.141132
0.590000,3.126047,3.122780,-3.055946,3.141064,3.141431,3.141132
0.592000,3.125802,3.123207,-3.055238,3.141064,3.141431,3.141132
0.596000,3.125268,3.124083,-3.053797,3.141064,3.141431,3.141132
0.596000,3.125268,3.124083,-3.053797,3.141064,3.141431,3.141132
0.598000,3.124981,3.124530,-3.053064,3.141064,3.141431,3.141132
0.600000,3.124682,3.124983,-3.052326,3.141064,3.141431,3.141132
0.604000,3.124047,3.125905,-3.050824,3.141064,3.141431,3.141132
0.606000,3.124047,3.125905,-3.050824,3.141064,3.141431,3.141132
0.606000,3.123711,3.126373,-3.050061,3.141064,3.141431,3.141132
0.608000,3.123366,3.126845,-3.049291,3.141064,3.141431,3.141132
0.612000,3.123010,3.127322,-3.048513,3.141064,3.141431,3.141132
0.612000,3.122644,3.127802,-3.047729,3.141064,3.141431,3.141132
0.614000,3.122266,3.128285,-3.046937,3.141064,3.141431,3.141132
0.616000,3.121879,3.128772,-3.046135,3.141064,3.141431,3.141132
0.620000,3.121081,3.129753,-3.044508,3.141064,3.141431,3.141132
0.622000,3.120670,3.130246,-3.043678,3.141064,3.141431,3.141132
0.624000,3.120670,3.130246,-3.043678,3.141064,3.141431,3.141132
0.624000,3.120208,3.130786,-3.042909,3.141064,3.141431,3.141132
0.626000,3.119705,3.131365,-3.042201,3.141064,3.141431,3.141132
0.628000,3.119212,3.131951,-3.041648,3.141064,3.141431,3.141132
0.632000,3.118737,3.132537,-3.041243,3.141064,3.141431,3.141132
0.632000,3.118286,3.133116,-3.040983,3.141064,3.141431,3.141132
0.634000,3.117863,3.133685,-3.040846,3.141064,3.141431,3.141132
0.636000,3.117470,3.134238,-3.040811,3.141064,3.141431,3.141132
0.640000,3.117110,3.134776,-3.040868,3.141064,3.141431,3.141132
0.642000,3.116783,3.135294,-3.040998,3.141064,3.141431,3.141132
0.642000,3.116491,3.135792,-3.041181,3.141064,3.141431,3.141132
0.644000,3.116235,3.136269,-3.041400,3.141064,3.141431,3.141132
0.646000,3.116016,3.136725,-3.041640,3.141064,3.141431,3.141132
0.650000,3.115833,3.137159,-3.041887,3.141064,3.141431,3.141132
0.652000,3.115688,3.137571,-3.042131,3.141064,3.141431,3.141132
0.652000,3.115579,3.137962,-3.042364,3.141064,3.141431,3.141132
0.654000,3.115505,3.138331,-3.042579,3.141064,3.141431,3.141132
0.656000,3.115466,3.138680,-3.042771,3.141064,3.141431,3.141132
0.660000,3.115461,3.139009,-3.042936,3.141064,3.141431,3.141132
0.660000,3.115488,3.139318,-3.043073,3.141064,3.141431,3.141132
0.662000,3.115546,3.139608,-3.043179,3.141064,3.141431,3.141132
0.666000,3.115632,3.139880,-3.043253,3.141064,3.141431,3.141132
0.668000,3.115746,3.140134,-3.043294,3.141064,3.141431,3.141132
0.668000,3.115885,3.140370,-3.043303,3.141064,3.141431,3.141132
0.670000,3.116048,3.140591,-3.043279,3.141064,3.141431,3.141132
0.674000,3.116233,3.140795,-3.043224,3.141064,3.141431,3.141132
0.676000,3.116440,3.140984,-3.043138,3.141064,3.141431,3.141132
0.676000,3.116666,3.141159,-3.043022,3.141064,3.141431,3.141132
0.678000,3.116910,3.141319,-3.042875,3.141064,3.141431,3.141132
0.682000,3.117172,3.141466,-3.042701,3.141064,3.141431,3.141132
0.682000,3.117449,-3.141585,-3.042498,3.141064,3.141431,3.141132
0.684000,3.117740,-3.141462,-3.042268,3.141064,3.141431,3.141132
0.688000,3.118045,-3.141352,-3.042012,3.141064,3.141431,3.141132
0.690000,3.118361,-3.141252,-3.041730,3.141064,3.141431,3.141132
0.690000,3.118688,-3.141164,-3.041425,3.141064,3.141431,3.141132
0.694000,3.119025,-3.141085,-3.041096,3.141064,3.141431,3.141132
0.696000,3.119370,-3.141016,-3.040745,3.141064,3.141431,3.141132
0.696000,3.119723,-3.140956,-3.040371,3.141064,3.141431,3.141132
0.700000,3.120082,-3.140905,-3.039976,3.141064,3.141431,3.141132
0.702000,3.120447,-3.140863,-3.039559,3.141064,3.141431,3.141132
0.702000,3.120818,-3.140829,-3.039121,3.141064,3.141431,3.141132
0.704000,3.121193,-3.140802,-3.038663,3.141064,3.141431,3.141132
0.708000,3.121571,-3.140784,-3.038184,3.141064,3.141431,3.141132
0.710000,3.121953,-3.140772,-3.037685,3.141064,3.141431,3.141132
0.712000,3.122338,-3.140768,-3.037167,3.141064,3.141431,3.141132
0.712000,3.122724,-3.140770,-3.036632,3.141064,3.141431,3.141132
0.716000,3.123112,-3.140779,-3.036079,3.141064,3.141431,3.141132
0.718000,3.123501,-3.140794,-3.035508,3.141064,3.141431,3.141132
0.718000,3.123891,-3.140815,-3.034920,3.141064,3.141431,3.141132
0.720000,3.124282,-3.140841,-3.034314,3.141064,3.141431,3.141132
0.724000,3.124672,-3.140874,-3.033692,3.141064,3.141431,3.141132
0.726000,3.125062,-3.140911,-3.033052,3.141064,3.141431,3.141132
0.726000,3.125451,-3.140954,-3.032394,3.141064,3.141431,3.141132
0.728000,3.125839,-3.141002,-3.031719,3.141064,3.141431,3.141132
0.730000,3.126225,-3.141055,-3.031027,3.141064,3.141431,3.141132
0.734000,3.126610,-3.141113,-3.030317,3.141064,3.141431,3.141132
